"","binomial","X","Species.ID","Kingdom","Phylum","Class","Order","Family","Genus","Species","Authority","Infraspecific.rank","Infraspecific.name","Infraspecific.authority","Stock.subpopulation","Synonyms","Common.names..Eng.","Common.names..Fre.","Common.names..Spa.","Red.List.status","Red.List.criteria","Red.List.criteria.version","Year.assessed","Population.trend","Petitioned","mating_system","sex_dim","ref.matsys","ref.sexdim","male_svl_cm","female_svl_cm","male_body_mass_g","female_body_mass_g","ref.svl.male","ref.svl.female","ref.body_mass.male","ref.body_mass.female","shape_Leng","shape_Area","han_MorR","sex_role.liker","malepolyfreq.liker","malepolyscore.liker","fempolyfreq.liker","fempolyscore.liker","parentalcare_bias.liker","malecareduration.liker","femcareduration.liker","breedingdens.liker","EPP.freq.liker","body.size.pip","latitude.pip","sex.size.dim","ref.sex.size.dim","body_mass_adult","ref_body_mass","sex.sel.traits","ref.sex.sel.t","comments","ASR","ref.asr"
"1169","Allobates brunneus",1169,55059,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","AROMOBATIDAE","Allobates","brunneus","(Cope, 1887)",NA,NA,NA,NA,"Colostethus brunneus  ",NA,NA,"Sapito Ninera Del Brasil","LC",NA,3.1,2004,"unknown",NA,NA,NA,NA,NA,1.79,1.96,NA,NA,"han","han",NA,NA,75.48286506,156.7211284,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1170","Allobates caeruleodactylus",1170,55060,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","AROMOBATIDAE","Allobates","caeruleodactylus","(Lima & Caldwell, 2001)",NA,NA,NA,NA,"Colostethus caeruleodactylus  ",NA,NA,NA,"DD",NA,3.1,2004,"unknown",NA,NA,NA,NA,NA,1.55,1.63,NA,NA,"han","han",NA,NA,1.342703528,0.143462823,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1176","Allobates femoralis",1176,55038,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","AROMOBATIDAE","Allobates","femoralis","(Boulenger, 1884)",NA,NA,NA,NA,NA,NA,"Epipedobate Fémoral",NA,"LC",NA,3.1,2010,"stable",NA,NA,NA,NA,NA,2.49,2.69,NA,NA,"han","han",NA,NA,169.5768445,458.2459893,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1193","Allobates nidicola",1193,55120,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","AROMOBATIDAE","Allobates","nidicola","(Caldwell & Lima, 2003)",NA,NA,NA,NA,"Colostethus nidicola  ",NA,NA,NA,"DD",NA,3.1,2004,"unknown",NA,NA,NA,NA,NA,1.96,2.02,NA,NA,"han","han",NA,NA,0.117647794,0.001101404,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1205","Allobates talamancae",1205,55155,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","AROMOBATIDAE","Allobates","talamancae","(Cope, 1875)",NA,NA,NA,NA,"Colostethus talamancae|Dendrobates talamancae|Hylaplesia talamancae|Phyllobates  talamancae","Talamanca Rocket Frog",NA,NA,"LC",NA,3.1,2008,"stable",NA,NA,NA,NA,NA,2.04,2.4,NA,NA,"han","han",NA,NA,0.668893985,0.029145165,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1210","Allobates zaparo",1210,55039,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","AROMOBATIDAE","Allobates","zaparo","(Silverstone, 1976)",NA,NA,NA,NA,"Dendrobates  zaparo|Epipedobates zaparo|Phyllobates  zaparo ","Sanguine Poison-arrow Frog, Sanguine Poison Frog, Zaparo's Poison Frog",NA,"Rana Venenosa","LC",NA,3.1,2004,"unknown",NA,NA,NA,NA,NA,2.78,2.8,NA,NA,"han","han",NA,NA,7.858644137,3.687083938,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1228","Allophryne ruthveni",1228,59659,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","ALLOPHRYNIDAE","Allophryne","ruthveni","Gaige, 1926",NA,NA,NA,NA,NA,"Tukeit Hill Frog",NA,NA,"LC",NA,3.1,2004,"decreasing",NA,NA,NA,NA,NA,2.26,2.7,NA,NA,"han","han",NA,NA,112.3497347,249.1191126,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1377","Alytes cisternasii",1377,55266,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","ALYTIDAE","Alytes","cisternasii","Boscá, 1879",NA,NA,NA,NA,NA,"Iberian Midwife Toad",NA,"Sapo Partero Ibérico","NT",NA,3.1,2009,"decreasing",NA,"Monoandry",NA,"liao",NA,4.92,5.09,NA,NA,"liao","liao",NA,NA,22.61726422,17.812214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASR based on marked individuals: 74 males (>= 1 year old), 12 females (>=2 year old) (CCI 29/10/2018)",0.86,"(Márquez et al., 1997)"
"1381","Alytes obstetricans",1381,55268,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","ALYTIDAE","Alytes","obstetricans","(Laurenti, 1768)",NA,NA,NA,NA,"Bufo obstetricans","Common Midwife Toad",NA,"Sapo Partero Común","LC",NA,3.1,2009,"decreasing",NA,"Polygynandrous (promiscuous), Monoandry","Female larger","adw, liao","adw",5.84,6.34,NA,NA,"liao","liao",NA,NA,2.440196375,0.234386175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASR based on marked individuals: 59 males (>=1 year old), 31 females (>=2 year old) (CCI 29/10/2018)",0.65,"(Márquez et al., 1997)"
"1623","Ameerega hahneli",1623,55223,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","DENDROBATIDAE","Ameerega","hahneli","(Boulenger, 1884)",NA,NA,NA,NA,"Epipedobates hahneli  |Epipedobates hahneli  ",NA,NA,NA,"LC",NA,3.1,2010,"stable",NA,NA,NA,NA,NA,1.8,2.05,NA,NA,"han","han",NA,NA,91.57364984,322.6274796,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1629","Ameerega parvula",1629,55229,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","DENDROBATIDAE","Ameerega","parvula","(Boulenger, 1882)",NA,NA,NA,NA,"Ameerega parvulus  |Epipedobates parvulus  |Prostherapis festae  ",NA,NA,"Rana Venenosa","LC",NA,3.1,2004,"stable",NA,NA,NA,NA,NA,1.9,2.12,NA,NA,"han","han",NA,NA,17.06103019,15.74316823,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1630","Ameerega petersi",1630,55230,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","DENDROBATIDAE","Ameerega","petersi","(Silverstone, 1976)",NA,NA,NA,NA,"Epipedobates petersi|Phyllobates petersi ","Peru Poison Frog",NA,"Rana Venenosa","LC",NA,3.1,2004,"stable",NA,NA,NA,NA,NA,2.48,2.8,NA,NA,"han","han",NA,NA,27.86011968,7.448741281,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1631","Ameerega picta",1631,55231,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","DENDROBATIDAE","Ameerega","picta","(Bibron, 1838)",NA,NA,NA,NA,"Dendrobates eucnemis|Dendrobates pictus|Dendrobates pictus subspecies guayanensis|Epipedobates pictus|Hylaplesia picta|Phyllobates pictus","Spot-legged Poison Frog, Spot-legged Poison-arrow Frog",NA,"Sapito Pintado","LC",NA,3.1,2008,"stable",NA,NA,NA,NA,NA,2.32,2.44,NA,NA,"han","han",NA,NA,0.701006556,0.039104188,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1634","Ameerega pulchripecta",1634,55233,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","DENDROBATIDAE","Ameerega","pulchripecta","(Silverstone, 1976)",NA,NA,NA,NA,"Ameerega pulchripectus  |Epipedobates pulchripectus  ",NA,NA,NA,"DD",NA,3.1,2004,"unknown",NA,NA,NA,NA,NA,2.26,2.6,NA,NA,"han","han",NA,NA,2.6778591,0.570629941,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1637","Ameerega silverstonei",1637,55236,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","DENDROBATIDAE","Ameerega","silverstonei","(Myers & Daly, 1979)",NA,NA,NA,NA,"Epipedobates silverstonei","Silverstone's Poison Frog",NA,"Rana Venenosa","EN","B1ab(iii,v)",3.1,2014,"decreasing",NA,NA,NA,NA,NA,3.59,4.18,NA,NA,"han","han",NA,NA,0.905757964,0.06073083,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1640","Ameerega trivittata",1640,55240,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","DENDROBATIDAE","Ameerega","trivittata","(Spix, 1824)",NA,NA,NA,NA,"Ameerega trivittatus  |Dendrobates nigerrima|Dendrobates nigerrimus|Dendrobates obscurus|Dendrobates trivittatus|Dendrobates  tetravittatus|Epipedobates trivittatus  |Hyla trivittata|Hyla  nigerrima|Hylaplesia trivittatus|Hysaplesia nigerrima|Hysaplesia trivittata|Phobobates trivittatus|Phyllobates trivittatus","Three-striped Arrow-poison Frog, Three-striped Poison Frog",NA,"Sapito Dardo Trilistado","LC",NA,3.1,2008,"stable",NA,NA,NA,NA,NA,3.79,4.36,NA,NA,"han","han",NA,NA,118.3626674,353.4098697,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1734","Amolops bellulus",1734,58202,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","RANIDAE","Amolops","bellulus","Liu, Yang, Ferraris and Matsui, 2000",NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,3.1,2004,"unknown",NA,NA,NA,NA,NA,4.79,6.36,NA,NA,"han","han",NA,NA,1.210754375,0.035345477,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1737","Amolops chunganensis",1737,58205,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","RANIDAE","Amolops","chunganensis","(Pope, 1929)",NA,NA,NA,NA,"Rana  chunganensis |Staurois  chunganensis","Chungan Sucker Frog, Chungan Torrent Frog",NA,NA,"LC",NA,3.1,2008,"decreasing",NA,NA,NA,NA,NA,3.96,4.81,NA,NA,"han","han",NA,NA,43.90089059,18.60216298,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1741","Amolops daiyunensis",1741,135800,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","RANIDAE","Amolops","daiyunensis","(Liu & Hu, 1975)",NA,NA,NA,NA,"Staurois daiyunensis",NA,NA,NA,"NT",NA,3.1,2008,"decreasing",NA,NA,NA,NA,NA,4.94,5.45,NA,NA,"han","han",NA,NA,5.404847572,1.417780469,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1744","Amolops granulosus",1744,58208,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","RANIDAE","Amolops","granulosus","(Liu and Hu, 1961)",NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,3.1,2004,"decreasing",NA,NA,NA,NA,NA,3.98,5.19,NA,NA,"han","han",NA,NA,24.22751272,13.27563952,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1745","Amolops hainanensis",1745,58209,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","RANIDAE","Amolops","hainanensis","(Boulenger, 1900)",NA,NA,NA,NA,NA,NA,NA,NA,"EN","B2ab(iii,v)",3.1,2004,"decreasing",NA,NA,NA,NA,NA,8.04,7.29,NA,NA,"han","han",NA,NA,4.148993118,1.102697815,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1746","Amolops hongkongensis",1746,58210,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","RANIDAE","Amolops","hongkongensis","(Pope and Romer, 1951)",NA,NA,NA,NA,NA,NA,NA,NA,"EN","B1ab(iii)",3.1,2008,"decreasing",NA,NA,NA,NA,NA,3.9,4,NA,NA,"han","han",NA,NA,1.37167875,0.026230361,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1753","Amolops lifanensis",1753,58217,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","RANIDAE","Amolops","lifanensis","(Liu, 1945)",NA,NA,NA,NA,NA,NA,NA,NA,"NT",NA,3.1,2004,"stable",NA,"Monoandry",NA,"liao",NA,5.42,7.11,NA,NA,"han","han",NA,NA,5.236832541,1.402821889,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No data available (CCI 29/10/2018)",NA,NA
"1754","Amolops loloensis",1754,58218,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","RANIDAE","Amolops","loloensis","(Liu, 1950)",NA,NA,NA,NA,NA,"Lolokou Sucker Frog, Rufous-spotted Torrent Frog",NA,NA,"VU","A2ac",3.1,2004,"decreasing",NA,NA,NA,NA,NA,5.83,7.42,NA,NA,"han","han",NA,NA,7.318576182,3.180184191,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1756","Amolops mantzorum",1756,58220,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","RANIDAE","Amolops","mantzorum","(David, 1872)",NA,NA,NA,NA,"Amolops kangtingensis|Polypedates mantzorum|Staurois kangtingensis","Mouping Sucker Frog, Sichuan Torrent Frog",NA,NA,"LC",NA,3.1,2004,"decreasing",NA,"Monoandry","Female larger","liao","(Liao, 2011)",5.22,6.58,NA,NA,"han","han",NA,NA,24.18174409,8.866852393,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASR based on marked individuals trapped during breeding season: 30 males and 15 females (CCI 29/10/2018)",0.67,"(Liao, 2011)"
"1764","Amolops ricketti",1764,58224,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","RANIDAE","Amolops","ricketti","(Boulenger, 1899)",NA,NA,NA,NA,"Rhacophorus tongkinensis  |Staurois ricketti subspecies minor",NA,NA,NA,"LC",NA,3.1,2004,"decreasing",NA,NA,NA,NA,NA,5.59,6.07,NA,NA,"han","han",NA,NA,83.584031,74.06241105,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1767","Amolops torrentis",1767,58227,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","RANIDAE","Amolops","torrentis","(Smith, 1923)",NA,NA,NA,NA,NA,NA,NA,NA,"VU","B1ab(iii)+2ab(iii)",3.1,2004,"decreasing",NA,NA,NA,NA,NA,2.97,3.74,NA,NA,"han","han",NA,NA,4.391072583,1.185204937,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1769","Amolops viridimaculatus",1769,58229,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","RANIDAE","Amolops","viridimaculatus","(Jiang, 1983)",NA,NA,NA,NA,NA,"Dahaoping Sucker Frog",NA,NA,"NT",NA,3.1,2004,"decreasing",NA,NA,NA,NA,NA,7.48,9.8,NA,NA,"han","han",NA,NA,8.744920247,0.986967714,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1771","Amolops wuyiensis",1771,58230,"ANIMALIA","CHORDATA","AMPHIBIA","ANURA","RANIDAE","Amolops","wuyiensis","(Liu and Hu, 1975)",NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA,3.1,2004,"decreasing",NA,NA,NA,NA,NA,4.18,4.82,NA,NA,"han","han",NA,NA,18.15790832,9.391655098,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
