species,order,family,asr,b.mass,chick.brd,chick.brd.abs,chick.dfc,chick.dur,chick.feed,chick.feed.abs,clutch.num,clutch.size,dev.mod,egg.mass,epb,epy,f.mass,f.tail,f.tarsus,f.wing,femmor.a,fpg,fpg.scr,inc,inc.abs,inc.dur,m.mass,m.tail,m.tarsus,m_displ,m.wing,malmor.a,mating.system,mortality,mpg,mpg.scr,nest.bld,nest.bld.abs,nest.dur,nest.grd,pl.back,pl.belly,pl.extra,pl.head,pl.latitude,pl.mean,pl.median,pl.tail,pl.total,pl.wings,post.dur,postf.feed,postf.feed.abs,postf.grd,postf.grd.abs,testes,unsexed.mass,unsexed.tail,unsexed.tarsus,unsexed.wing
Myioborus_castaneocapilla,Passeriformes,Parulidae,NA,10.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,10.92,NA,NA,NA
Myioborus_flavivertex,Passeriformes,Parulidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,17.99,NA,NA,NA
Myioborus_melanocephalus,Passeriformes,Parulidae,NA,11.3,NA,NA,NA,12,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,11.3,NA,NA,NA
Myioborus_miniatus,Passeriformes,Parulidae,NA,9,NA,NA,NA,13,NA,NA,NA,2.2,NA,1.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,0.09,11.5,NA,NA,NA
Myioborus_ornatus,Passeriformes,Parulidae,NA,11.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,11.7,NA,NA,NA
Myioborus_pariae,Passeriformes,Parulidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,17.99,NA,NA,NA
Myioborus_pictus,Passeriformes,Parulidae,NA,9.8,NA,NA,NA,13,NA,NA,NA,3.736666667,0,1.42,NA,NA,9.9,62.6,16.5,68.2,NA,0,0,NA,NA,13.5,9.7,64.4,16.5,NA,72,NA,3,NA,NA,2,0,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,0.19,9.595,NA,NA,NA
Myioborus_torquatus,Passeriformes,Parulidae,NA,10.5,NA,NA,NA,NA,NA,NA,NA,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,10.5,NA,NA,NA
Myiodynastes_bairdii,Passeriformes,Tyrannidae,NA,45,NA,NA,NA,NA,2,NA,NA,3.9,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,45,NA,NA,NA
Myiodynastes_chrysocephalus,Passeriformes,Tyrannidae,NA,38.3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,38.3,NA,NA,NA
Myiodynastes_hemichrysus,Passeriformes,Tyrannidae,NA,43.4,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,43.4,NA,NA,NA
Myiodynastes_luteiventris,Passeriformes,Tyrannidae,NA,46.9,NA,NA,NA,17,2,NA,NA,3.073333333,0,NA,NA,NA,47.5,77.7,19.4,108.5,NA,0,0,0,NA,16,46.7,81.2,19.8,NA,114.8,NA,NA,NA,0,0,0,NA,10,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,46.9,NA,NA,NA
Myiodynastes_maculatus,Passeriformes,Tyrannidae,NA,43.2,NA,NA,NA,19,2,NA,NA,2.65,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,16.5,43,NA,NA,NA,NA,NA,2,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0.33,43.13333333,NA,NA,NA
Myiomela_albiventris,Passeriformes,Muscicapidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,38.46,NA,NA,NA
Myiomela_major,Passeriformes,Muscicapidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,38.46,NA,NA,NA
Myiopagis_caniceps,Passeriformes,Tyrannidae,NA,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,1,0,1,0,-0.5,-0.166666667,-1,3,-1,NA,NA,NA,NA,NA,NA,10.5,NA,NA,NA
Myiopagis_cotta,Passeriformes,Tyrannidae,NA,11.6,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,11.6,NA,NA,NA
Myiopagis_flavivertex,Passeriformes,Tyrannidae,NA,11.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,11.84,NA,NA,NA
Myiopagis_gaimardii,Passeriformes,Tyrannidae,NA,12.03333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0.05,12.01,NA,NA,NA
Myiopagis_olallai,Passeriformes,Tyrannidae,NA,12.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,12.1,NA,NA,NA
Myiopagis_subplacens,Passeriformes,Tyrannidae,NA,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9,NA,NA,NA,NA,0,0,NA,NA,NA,14.9,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,15.86,NA,NA,NA
Myiopagis_viridicata,Passeriformes,Tyrannidae,NA,11.56667,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,2,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0.04,12.755,NA,NA,NA
Myioparus_griseigularis,Passeriformes,Muscicapidae,NA,12.6,NA,NA,NA,13,2,NA,NA,2,NA,2.07,NA,NA,12.5,49.3,16.9,61.5,NA,0,0,0,NA,12,12.6,49.5,16.5,NA,63.1,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,12.6,NA,NA,NA
Myioparus_plumbeus,Passeriformes,Muscicapidae,NA,12.8,NA,NA,NA,NA,NA,NA,NA,2,NA,1.52,NA,NA,12.4,57.5,17.5,64,NA,0,0,NA,NA,NA,13.3,59.2,17.9,NA,67.5,NA,NA,NA,0,0,2,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,12.8,NA,NA,NA
Myiophobus_cryptoxanthus,Passeriformes,Tyrannidae,NA,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,9.8,NA,NA,NA
Myiophobus_fasciatus,Passeriformes,Tyrannidae,NA,9.9,NA,NA,NA,16,2,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,2,-1,0,0.5,0,1,0,NA,NA,NA,NA,NA,NA,9.9,NA,NA,NA
Myiophobus_flavicans,Passeriformes,Tyrannidae,NA,12.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,2,0,0,0.5,0,1,0,NA,NA,NA,NA,NA,NA,12.7,NA,NA,NA
Myiophobus_inornatus,Passeriformes,Tyrannidae,NA,11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,11.2,NA,NA,NA
Myiophobus_lintoni,Passeriformes,Tyrannidae,NA,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,0,0.333333333,0,1,0,NA,NA,NA,NA,NA,NA,9.8,NA,NA,NA
Myiophobus_ochraceiventris,Passeriformes,Tyrannidae,NA,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8,NA,NA,NA,NA,0,0,0,NA,NA,11.2,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,1,0,2,0,0,0.5,0,1,0,NA,NA,NA,NA,NA,NA,10.47,NA,NA,NA
Myiophobus_phoenicomitra,Passeriformes,Tyrannidae,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,0,0,0.333333333,0,1,0,NA,NA,NA,NA,NA,NA,11,NA,NA,NA
Myiophobus_pulcher,Passeriformes,Tyrannidae,NA,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,2,0,0,0.5,0,1,0,NA,NA,NA,NA,NA,NA,9.5,NA,NA,NA
Myiophobus_roraimae,Passeriformes,Tyrannidae,NA,13.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,0,0,0.333333333,0,1,0,NA,NA,NA,NA,NA,NA,13.62,NA,NA,NA
Myiopsitta_monachus,Psittaciformes,Psittacidae,NA,120,NA,NA,NA,42,2,NA,NA,6,0,7,0,0,NA,136.8,NA,150.5,NA,0,0,0,NA,24,NA,135.7,18,NA,156,NA,NA,NA,0,0,3,NA,NA,2,0,0,0,0,-1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,120,NA,NA,NA
Myiornis_albiventris,Passeriformes,Tyrannidae,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5.485,NA,NA,NA
Myiornis_atricapillus,Passeriformes,Tyrannidae,NA,5.7,0,NA,NA,NA,0,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,2,0,0,0.666666667,0,1,0,NA,NA,NA,NA,NA,NA,5.7,NA,NA,NA
Myiornis_auricularis,Passeriformes,Tyrannidae,NA,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,-1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5.3,NA,NA,NA
Myiornis_ecaudatus,Passeriformes,Tyrannidae,NA,5.3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5.275,NA,NA,NA
Myiotheretes_fumigatus,Passeriformes,Tyrannidae,NA,33.4,NA,NA,NA,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,33.4,NA,NA,NA
Myiotheretes_fuscorufus,Passeriformes,Tyrannidae,NA,31.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,31.7,NA,NA,NA
Myiotheretes_pernix,Passeriformes,Tyrannidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,48.1,NA,NA,NA
Myiotheretes_striaticollis,Passeriformes,Tyrannidae,NA,61.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,61.2,NA,NA,NA
Myiotriccus_ornatus,Passeriformes,Tyrannidae,NA,9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,9.9,NA,NA,NA
Myiozetetes_cayanensis,Passeriformes,Tyrannidae,NA,25.9,NA,NA,NA,19,NA,NA,NA,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,25.9,NA,NA,NA
Myiozetetes_granadensis,Passeriformes,Tyrannidae,NA,29.3,NA,NA,NA,NA,NA,NA,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,0.333333333,0,1,0,NA,NA,NA,NA,NA,NA,29.3,NA,NA,NA
Myiozetetes_luteiventris,Passeriformes,Tyrannidae,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,19,NA,NA,NA
Myiozetetes_similis,Passeriformes,Tyrannidae,NA,28,NA,NA,NA,19,NA,NA,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,28,NA,NA,NA
Myophonus_blighi,Passeriformes,Turdidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,0,-2,0,-2,-1.666666667,-2,5,-2,NA,NA,NA,NA,NA,NA,104.59,NA,NA,NA
Myophonus_borneensis,Passeriformes,Turdidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,2,0,2,1.333333333,0,5,2,NA,NA,NA,NA,NA,NA,89.65,NA,NA,NA
Myophonus_caeruleus,Passeriformes,Turdidae,NA,158,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,157.98,NA,NA,NA
Myophonus_castaneus,Passeriformes,Turdidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,0,-2,0,-1,-0.666666667,0,4,2,NA,NA,NA,NA,NA,NA,89.65,NA,NA,NA
Myophonus_glaucinus,Passeriformes,Turdidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,89.65,NA,NA,NA
Myophonus_horsfieldii,Passeriformes,Turdidae,NA,117,NA,NA,NA,NA,NA,NA,NA,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,117,NA,NA,NA
Myophonus_insularis,Passeriformes,Turdidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,104.59,NA,NA,NA
Myophonus_melanurus,Passeriformes,Turdidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,66.56,NA,NA,NA
Myophonus_robinsoni,Passeriformes,Turdidae,NA,99.2,NA,NA,NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,99.2,NA,NA,NA
Myornis_senilis,Passeriformes,Rhinocryptidae,NA,21.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,21.2,NA,NA,NA
Myrmeciza_atrothorax,Passeriformes,Thamnophilidae,NA,16.1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,0.8,NA,0,4,1,NA,NA,NA,NA,NA,NA,16.1,NA,NA,NA
Myrmeciza_berlepschi,Passeriformes,Thamnophilidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-1,NA,-1,NA,-0.6,NA,0,-3,-1,NA,NA,NA,NA,NA,NA,29.75,NA,NA,NA
Myrmeciza_castanea,Passeriformes,Thamnophilidae,NA,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,1,NA,0.6,NA,0,3,1,NA,NA,NA,NA,NA,NA,16.25,NA,NA,NA
Myrmeciza_disjuncta,Passeriformes,Thamnophilidae,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,1,NA,0.6,NA,0,3,1,NA,NA,NA,NA,NA,NA,15,NA,NA,NA
Myrmeciza_exsul,Passeriformes,Thamnophilidae,NA,26.5,2,NA,NA,9.5,2,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,NA,1,NA,1,NA,1,5,1,NA,2,NA,NA,NA,NA,26.5,NA,NA,NA
Myrmeciza_ferruginea,Passeriformes,Thamnophilidae,NA,26.1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-1,NA,1,NA,0.2,NA,0,1,1,NA,NA,NA,NA,NA,NA,26.1,NA,NA,NA
Myrmeciza_fortis,Passeriformes,Thamnophilidae,NA,45.95,NA,NA,NA,9,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,1,NA,1,5,1,NA,NA,NA,NA,NA,NA,45.945,NA,NA,NA
Myrmeciza_goeldii,Passeriformes,Thamnophilidae,NA,42,NA,NA,NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,1,NA,1,5,1,NA,NA,NA,NA,NA,NA,42,NA,NA,NA
Myrmeciza_griseiceps,Passeriformes,Thamnophilidae,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,1,NA,0.8,NA,1,4,1,NA,NA,NA,NA,NA,NA,15,NA,NA,NA
Myrmeciza_hemimelaena,Passeriformes,Thamnophilidae,NA,16,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,1,NA,1,NA,0.4,NA,0,2,1,NA,NA,NA,NA,NA,NA,16,NA,NA,NA
Myrmeciza_hyperythra,Passeriformes,Thamnophilidae,NA,41,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-1,NA,-1,NA,-0.2,NA,-1,-1,1,NA,NA,NA,NA,NA,NA,41,NA,NA,NA
Myrmeciza_immaculata,Passeriformes,Thamnophilidae,NA,47.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,NA,0.833333333,NA,1,5,1,NA,NA,NA,NA,NA,NA,47.1,NA,NA,NA
Myrmeciza_laemosticta,Passeriformes,Thamnophilidae,NA,25,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-1,NA,1,NA,0.4,NA,0,2,1,NA,NA,NA,NA,NA,NA,25,NA,NA,NA
