species,order,family,asr,b.mass,chick.brd,chick.brd.abs,chick.dfc,chick.dur,chick.feed,chick.feed.abs,clutch.num,clutch.size,dev.mod,egg.mass,epb,epy,f.mass,f.tail,f.tarsus,f.wing,femmor.a,fpg,fpg.scr,inc,inc.abs,inc.dur,m.mass,m.tail,m.tarsus,m_displ,m.wing,malmor.a,mating.system,mortality,mpg,mpg.scr,nest.bld,nest.bld.abs,nest.dur,nest.grd,pl.back,pl.belly,pl.extra,pl.head,pl.latitude,pl.mean,pl.median,pl.tail,pl.total,pl.wings,post.dur,postf.feed,postf.feed.abs,postf.grd,postf.grd.abs,testes,unsexed.mass,unsexed.tail,unsexed.tarsus,unsexed.wing
Acanthornis_magna,Passeriformes,Acanthizidae,NA,10.2,NA,NA,NA,NA,NA,NA,NA,3.25,0,1.8,NA,NA,9.6,NA,22.1,53.9,NA,0,0,NA,NA,NA,10.8,NA,22.6,1,57.5,NA,2,NA,0,0,NA,NA,NA,NA,0,0,0,0,-1,0,0,0,0,0,NA,2,NA,NA,NA,NA,10.18,NA,NA,NA
Accipiter_albogularis,Accipitriformes,Accipitridae,NA,250.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,248.75,NA,NA,NA
Accipiter_badius,Accipitriformes,Accipitridae,NA,131.5,NA,NA,1,32,2,NA,NA,3.15,1,21,NA,NA,141,177,NA,191,NA,0,0,1,NA,32.5,122,147,NA,5,172,NA,NA,NA,0,0,2,NA,NA,1,0,0,NA,0,NA,0,NA,0,0,0,35,NA,NA,NA,NA,NA,127.075,NA,44,NA
Accipiter_bicolor,Accipitriformes,Accipitridae,NA,301,NA,NA,NA,33,NA,NA,NA,1.7,NA,NA,NA,NA,390,NA,NA,NA,NA,NA,NA,NA,NA,35,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,NA,0,NA,0,NA,0,0,0,60,2,NA,NA,NA,NA,287.54,NA,NA,NA
Accipiter_brachyurus,Accipitriformes,Accipitridae,NA,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,142,NA,NA,NA
Accipiter_brevipes,Accipitriformes,Accipitridae,NA,187.5,NA,NA,NA,45,0,NA,NA,3.9,1,NA,NA,NA,207,NA,NA,NA,NA,0,0,0,NA,32.5,168,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,NA,1,NA,1,NA,1,5,1,21,NA,NA,NA,NA,NA,186.48,NA,NA,NA
Accipiter_butleri,Accipitriformes,Accipitridae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,332.94,NA,NA,NA
Accipiter_castanilius,Accipitriformes,Accipitridae,NA,159.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176,159.5,NA,174.5,NA,NA,NA,NA,NA,NA,142.5,133,NA,NA,154.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,157.51,NA,NA,NA
Accipiter_chilensis,Accipitriformes,Accipitridae,NA,368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,368,NA,NA,NA
Accipiter_chionogaster,Accipitriformes,Accipitridae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,332.94,NA,NA,NA
