binomial,Species.ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Authority,Infraspecific.rank,Infraspecific.name,Infraspecific.authority,Stock.subpopulation,Synonyms,Common.names..Eng.,Common.names..Fre.,Common.names..Spa.,Red.List.status,Red.List.criteria,Red.List.criteria.version,Year.assessed,Population.trend,Petitioned,mating_system,sex_dim,ref.matsys,ref.sexdim,male_svl_cm,female_svl_cm,male_body_mass_g,female_body_mass_g,ref.svl.male,ref.svl.female,ref.body_mass.male,ref.body_mass.female,shape_Leng,shape_Area,han_MorR,sex_role.liker,malepolyfreq.liker,malepolyscore.liker,fempolyfreq.liker,fempolyscore.liker,parentalcare_bias.liker,malecareduration.liker,femcareduration.liker,breedingdens.liker,EPP.freq.liker,body.size.pip,latitude.pip,ASR,ref.asr,sex.size.dim,ref.sex.size.dim,body_mass_adult,ref_body_mass,sex.sel.traits,ref.sex.sel.t,comments
Duttaphrynus himalayanus,54662,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BUFONIDAE,Duttaphrynus,himalayanus,"(Günther, 1864)",NA,NA,NA,NA,Bufo abatus  |Bufo cyphosus  |Bufo himalayanus  ,Himalayan Toad,NA,NA,LC,NA,3.1,2004,stable,NA,NA,NA,NA,NA,8.78,9.58,NA,NA,han,han,NA,NA,74.55626419,46.67677912,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Duttaphrynus melanostictus,54707,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BUFONIDAE,Duttaphrynus,melanostictus,"(Schneider, 1799)",NA,NA,NA,NA,Ansonia kamblei  |Bufo melanostictus  |Bufo tienhoensis  ,"Asian Common Toad, Asian Toad, Black-spectacled Toad, Common Sunda Toad, Javanese Toad",NA,NA,LC,NA,3.1,2004,increasing,NA,Polygynandrous (promiscuous),Male larger,adw,adw,6.85,7.52,NA,NA,han,han,NA,NA,653.8094315,600.8184863,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52,"(Döring et al., 2017; Ngo & Ngo, 2013)",NA,NA,NA,NA,NA,NA,"ASR based on collected individuals from two studies: 48 males and 35 females (Döring et al., 2017); 53 males and 56 females (Ngo & Ngo, 2013) (CCI 30/10/2018)"
Ecnomiohyla miliaria,55561,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Ecnomiohyla,miliaria,"(Cope, 1886)",NA,NA,NA,NA,Hyla immensa|Hyla  miliaria|Hypsiboas  miliarius |Plectrohyla  miliaria,Cope's Brown Treefrog,NA,NA,VU,B1ab(iii),3.1,2010,unknown,NA,NA,NA,NA,NA,8.16,6.97,NA,NA,han,han,NA,NA,0.268852868,0.005751862,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ecnomiohyla miotympanum,55566,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Ecnomiohyla,miotympanum,"(Cope, 1863)",NA,NA,NA,NA,Hyla miotympanum  ,NA,NA,Calates,NT,NA,3.1,2004,decreasing,NA,NA,NA,NA,NA,2.85,3.97,NA,NA,han,han,NA,NA,17.32898633,1.910924477,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Edalorhina perezi,56385,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,LEPTODACTYLIDAE,Edalorhina,perezi,"Jiménez de la Espada, 1870",NA,NA,NA,NA,Bubonias plicifrons  |Edalorhina buckleyi  ,Perez's Snouted Frog,NA,NA,LC,NA,3.1,2004,stable,NA,Polygynandrous (promiscuous),Female larger,adw,adw,2.69,3.22,NA,NA,han,han,NA,NA,40.22121568,106.5083014,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No data available (CCI 30/10/2018)
Elachistocleis bicolor,57807,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICROHYLIDAE,Elachistocleis,bicolor,"(Guérin-Meneville, 1838)",NA,NA,NA,NA,NA,NA,NA,"Rana Pinguino, Sapito Panza Amarilla",LC,NA,3.1,2004,stable,NA,NA,NA,NA,NA,2.28,2.61,NA,NA,nali,nali,NA,NA,89.89072388,145.0968129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus coqui,56522,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ELEUTHERODACTYLIDAE,Eleutherodactylus,coqui,"Thomas, 1966",NA,NA,NA,NA,NA,"Common Coqui, Puerto Rican Coqui",NA,Coquí Común,LC,NA,3.1,2009,stable,NA,NA,Female larger,NA,adw,3.34,3.34,NA,NA,han,han,NA,NA,5.543671916,0.749507046,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51,"(Fogarty & Vilella, 2002)",NA,NA,NA,NA,NA,NA,ASR based on marked individuals on two areas and two seasons: 294 females and 310 males (CCI 30/10/2018)
Eleutherodactylus cundalli,56543,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ELEUTHERODACTYLIDAE,Eleutherodactylus,cundalli,"Dunn, 1926",NA,NA,NA,NA,NA,Cundall's Robber Frog,NA,NA,NT,NA,3.1,2013,decreasing,NA,NA,NA,NA,NA,3.23,4.17,NA,NA,han,han,NA,NA,3.855776837,0.537622125,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus johnstonei,56684,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ELEUTHERODACTYLIDAE,Eleutherodactylus,johnstonei,"Barbour, 1914",NA,NA,NA,NA,Eleutherodactylus barbudensis|Eleutherodactylus  johnstoni|Eleutherodactylus  johnstonii|Hyla  barbudensis |Hylodes  johnstonei,"Lesser Antillean Whistling Frog, Johnstone's Robber Frog",NA,Coqui Antillano,LC,NA,3.1,2010,increasing,NA,NA,NA,NA,NA,2.31,2.69,NA,NA,han,han,NA,NA,14.36072493,0.458712869,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.38,10.02,0.63,pipoly,-0.081,pipoly,NA,NA,NA,NA,NA
Engystomops coloradorum,57247,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,LEPTODACTYLIDAE,Engystomops,coloradorum,"(Cannatella & Duellman, 1984)",NA,NA,NA,NA,Physalaemus coloradorum,Colorado Dwarf Frog,NA,NA,DD,NA,3.1,2010,unknown,NA,NA,NA,NA,NA,1.877,2.162,NA,NA,nali,nali,NA,NA,1.82673353,0.096153505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Engystomops petersi,57270,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,LEPTODACTYLIDAE,Engystomops,petersi,"Jiménez de la Espada, 1872",NA,NA,NA,NA,Physalaemus petersi,Peters' Dwarf Frog,NA,NA,LC,NA,3.1,2010,stable,NA,NA,NA,NA,NA,2.427,3.101,NA,NA,nali,nali,NA,NA,36.07346979,32.55405219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Engystomops pustulosus,57272,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,LEPTODACTYLIDAE,Engystomops,pustulosus,"(Cope, 1864)",NA,NA,NA,NA,Bufo  atrigularis |Bufo   stentor|Engystomops  stentor|Eupemphix  pustulosa|Eupemphix  ruthveni |Eupemphix  stentor|Eupemphix  trinitatis |Microphryne  pustulosa|Paludicola pustulosa|Peralaimos  stentor|Physalaemus pustulosus,"Tungara Frog, Túngara Frog",NA,"Sapito de Pustulas, Tungara",LC,NA,3.1,2010,stable,NA,NA,NA,NA,NA,2.568,2.844,NA,NA,nali,nali,NA,NA,171.5717545,73.89242516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Epipedobates anthonyi,55213,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DENDROBATIDAE,Epipedobates,anthonyi,"(Noble, 1921)",NA,NA,NA,NA,NA,Anthony's Poison-Arrow Frog,NA,Rana Tricolor Ecuatoriana,NT,NA,3.1,2010,stable,NA,NA,NA,NA,NA,1.81,2,NA,NA,han,han,NA,NA,5.86365392,1.511432198,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Epipedobates boulengeri,55217,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DENDROBATIDAE,Epipedobates,boulengeri,"(Barbour, 1909)",NA,NA,NA,NA,NA,Marbled Poison Frog,NA,NA,LC,NA,3.1,2010,unknown,NA,NA,NA,NA,NA,1.69,1.85,NA,NA,han,han,NA,NA,18.86423762,4.379644965,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Epipedobates tricolor,55239,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DENDROBATIDAE,Epipedobates,tricolor,"(Boulenger, 1899)",NA,NA,NA,NA,NA,NA,NA,Rana Tricolor Ecuatoriana,EN,"B1ab(iii,v)",3.1,2004,decreasing,NA,NA,NA,NA,NA,2.1,2.33,NA,NA,han,han,NA,NA,2.031169188,0.155035145,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Espadarana prosoblepon,54934,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,CENTROLENIDAE,Espadarana,prosoblepon,"(Boettger, 1892)",NA,NA,NA,NA,Centrolene prosoblepon|Hyla parabambae  |Hyla prosoblepon|Hyla  ocellifera|Hylella puncticrus  ,Nicaragua Giant Glass Frog,NA,Ranita De Cristal,LC,NA,3.1,2010,stable,NA,NA,NA,NA,NA,2.41,2.64,NA,NA,nali,nali,NA,NA,97.38573132,25.3163217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euphlyctis cyanophlyctis,58260,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DICROGLOSSIDAE,Euphlyctis,cyanophlyctis,"(Schneider, 1799)",NA,NA,NA,NA,Euphlyctis cyanophlyctis subspecies microspinulata|Rana cyanophlyetis,NA,NA,NA,LC,NA,3.1,2009,stable,NA,NA,NA,NA,NA,6.7,4.8,NA,NA,han,han,NA,NA,234.1940661,396.7606043,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Exerodonta melanomma,55552,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Exerodonta,melanomma,"(Taylor, 1940)",NA,NA,NA,NA,NA,NA,NA,Rana-de Arbol Ojo Negro,VU,B1ab(iii),3.1,2004,decreasing,NA,NA,NA,NA,NA,2.71,3.01,NA,NA,han,han,NA,NA,2.418221012,0.112513058,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Exerodonta sumichrasti,55668,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Exerodonta,sumichrasti,"Brocchi, 1879",NA,NA,NA,NA,Hyla sumichrasti,Sumichrast's Treefrog,NA,NA,LC,NA,3.1,2004,decreasing,NA,NA,NA,NA,NA,2.62,3.02,NA,NA,han,han,NA,NA,17.67932704,5.376231233,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Feihyla vittata,58797,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Feihyla,vittata,"(Boulenger, 1887)",NA,NA,NA,NA,Chirixalus vittatus  |Chiromantis vittatus|Ixalus vittatus,Striped Asian Treefrog,NA,NA,LC,NA,3.1,2004,stable,NA,NA,NA,NA,NA,2.36,2.57,NA,NA,nali,nali,NA,NA,85.7540395,109.413354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fejervarya cancrivora,58269,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DICROGLOSSIDAE,Fejervarya,cancrivora,"(Gravenhorst, 1829)",NA,NA,NA,NA,Rana cancrivora,"Asian Brackish Frog, Crab-eating Frog, Mangrove Frog, Rice Field Frog",NA,NA,LC,NA,3.1,2004,increasing,NA,NA,NA,NA,NA,5.88,6.86,NA,NA,han,han,NA,NA,770.220383,96.28912535,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fejervarya limnocharis,58275,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DICROGLOSSIDAE,Fejervarya,limnocharis,"(Gravenhorst, 1829)",NA,NA,NA,NA,Rana limnocharis,"Asian Grass Frog, Common Pond Frog, Field Frog, Grass Frog, Indian Rice Frog",NA,NA,LC,NA,3.1,2004,stable,NA,Monoandry,NA,liao,NA,3.9,4.88,NA,NA,han,han,NA,NA,1118.750746,786.2524281,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No data available (CCI 31/10/2018)
Fejervarya nicobariensis,136049,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DICROGLOSSIDAE,Fejervarya,nicobariensis,"(Stoliczka, 1870)",NA,NA,NA,NA,Rana gracilis variety nicobariensis,Nicobar Frog,NA,NA,EN,B1ab(iii),3.1,2008,decreasing,NA,NA,NA,NA,NA,4.28,5.01,NA,NA,han,han,NA,NA,2.34689584,0.033812308,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gephyromantis asper,57461,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MANTELLIDAE,Gephyromantis,asper,"(Boulenger, 1882)",NA,NA,NA,NA,Mantidactylus asper  |Mantidactylus  ceratophrys |Rana   aspera,East Betsileo Madagascar Frog,NA,NA,LC,NA,3.1,2016,decreasing,NA,NA,NA,NA,NA,3.09,2.97,NA,NA,han,han,NA,NA,11.2521653,2.980058553,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gephyromantis horridus,57489,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MANTELLIDAE,Gephyromantis,horridus,"(Boettger, 1880)",NA,NA,NA,NA,Arthroleptis  horridus|Hemimantis  horrida |Laurentomantis  horrida|Mantidactylus horridus|Trachymantis  horrida,Boettger's Grainy Frog ,NA,NA,VU,B1ab(iii),3.1,2016,decreasing,NA,NA,NA,NA,NA,2.7,3.5,NA,NA,han,han,NA,NA,1.061000138,0.023741465,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gephyromantis luteus,57497,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MANTELLIDAE,Gephyromantis,luteus,"(Methuen & Hewitt, 1913)",NA,NA,NA,NA,Mantidactylus luteus,White Madagascar Frog,NA,NA,LC,NA,3.1,2016,decreasing,NA,NA,NA,NA,NA,3.9,4.41,NA,NA,han,han,NA,NA,30.393792,6.326962676,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gephyromantis malagasius,57501,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MANTELLIDAE,Gephyromantis,malagasius,"(Methuen & Hewitt, 1913)",NA,NA,NA,NA,Laurentomantis  malagasia|Mantidactylus malagasius  |Microphryne  malagasia |Trachymantis  malagasia,Malasay Grainy Frog,NA,NA,LC,NA,3.1,2016,decreasing,NA,NA,NA,NA,NA,2.2,2.45,NA,NA,han,han,NA,NA,17.42553552,5.314831887,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gephyromantis plicifer,57512,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MANTELLIDAE,Gephyromantis,plicifer,"(Boulenger, 1882)",NA,NA,NA,NA,Mantidactylus plicifer|Mantidactylus  pliciferus|Rana  plicifera ,Common Madagascar Frog,NA,NA,LC,NA,3.1,2016,decreasing,NA,NA,NA,NA,NA,4.5,4.69,NA,NA,han,han,NA,NA,18.9333185,0.907546953,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gephyromantis striatus,57524,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MANTELLIDAE,Gephyromantis,striatus,"(Vences, Glaw, Andreone, Jesu & Schimmenti, 2002)",NA,NA,NA,NA,Mantidactylus striatus,NA,NA,NA,VU,B1ab(iii),3.1,2016,decreasing,NA,NA,NA,NA,NA,2.3,2.55,NA,NA,han,han,NA,NA,7.355508019,0.877703239,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glandirana emeljanovi,58591,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Glandirana,emeljanovi,"(Nikolsky, 1913)",NA,NA,NA,NA,Rana emeljanovi  ,NA,NA,NA,LC,NA,3.1,2004,decreasing,NA,NA,NA,NA,NA,4.6,5.54,NA,NA,han,han,NA,NA,91.93267687,43.84026712,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glandirana minima,58666,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Glandirana,minima,"(Ting & Tsai, 1979)",NA,NA,NA,NA,Rana minima  ,"Little Gland Frog, Fujian Frog",NA,NA,CR,"B2ab(iii,iv,v)",3.1,2004,decreasing,NA,NA,NA,NA,NA,2.7,2.86,NA,NA,han,han,NA,NA,4.729979174,0.351836012,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glandirana rugosa,58706,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Glandirana,rugosa,"(Temminck and Schlegel, 1838)",NA,NA,NA,NA,Rana rugosa  ,Japanese Wrinkled Frog,NA,NA,LC,NA,3.1,2004,stable,NA,NA,NA,NA,NA,4.28,4.47,NA,NA,han,han,NA,NA,142.048181,29.68283483,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glandirana tientaiensis,58738,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Glandirana,tientaiensis,"(Chang, 1933)",NA,NA,NA,NA,Rana tientaiensis  ,NA,NA,NA,NT,NA,3.1,2004,decreasing,NA,NA,NA,NA,NA,3.07,3.13,NA,NA,han,han,NA,NA,10.19128951,6.226219952,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gracixalus gracilipes,58848,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Gracixalus,gracilipes,"(Bourret, 1937)",NA,NA,NA,NA,Philautus gracilipes  ,NA,NA,NA,LC,NA,3.1,2004,decreasing,NA,NA,NA,NA,NA,2.2,2.95,NA,NA,han,han,NA,NA,14.91002571,3.535900054,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haddadus binotatus,56463,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Haddadus,binotatus,"(Spix, 1824)",NA,NA,NA,NA,Eleutherodactylus binotatus  |Eleutherodactylus binotatus  ,NA,NA,NA,LC,NA,3.1,2010,stable,NA,NA,NA,NA,NA,3.45,5.31,NA,NA,nali,nali,NA,NA,61.94554802,50.17749766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heleioporus australiacus,41046,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,LIMNODYNASTIDAE,Heleioporus,australiacus,"(Shaw & Nodder, 1795)",NA,NA,NA,NA,Rana australiaca,"Eastern Owl Frog, Giant Burrowing Frog",NA,NA,VU,A2ac,3.1,2004,decreasing,NA,NA,NA,NA,NA,8,7.7,NA,NA,han,han,NA,NA,38.18513979,8.214255615,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hemisus marmoratus,55281,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HEMISOTIDAE,Hemisus,marmoratus,"(Peters, 1854)",NA,NA,NA,NA,Engystoma marmoratum|Engystoma marmoratum|Hemisus sudanensis  ,Marbled Snout-burrower,NA,NA,LC,NA,3.1,2016,unknown,NA,NA,NA,NA,NA,2.79,3.18,NA,NA,nali,nali,NA,NA,289.7806356,817.6784818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoplobatrachus rugulosus,58300,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DICROGLOSSIDAE,Hoplobatrachus,rugulosus,"(Wiegmann, 1834)",NA,NA,NA,NA,Rana rugulosa   |Rana tigrina subspecies pantherina,"Chinese Edible Frog, East Asian Bullfrog, Taiwanese Frog",NA,NA,LC,NA,3.1,2004,stable,NA,NA,NA,NA,NA,8.24,7.17,NA,NA,han,han,NA,NA,295.7672615,264.3700681,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hyalinobatrachium chirripoi,55006,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,CENTROLENIDAE,Hyalinobatrachium,chirripoi,"(Taylor, 1958)",NA,NA,NA,NA,Centrolenella chirripoi|Cochranella chirripoi,Suretka Glass Frog,NA,Ranita De Cristal,LC,NA,3.1,2008,stable,NA,NA,NA,NA,NA,2.55,2.9,NA,NA,han,han,NA,NA,7.576236993,0.741799128,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hyalinobatrachium colymbiphyllum,55007,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,CENTROLENIDAE,Hyalinobatrachium,colymbiphyllum,"(Taylor, 1949)",NA,NA,NA,NA,Centrolenella colymbiphyllum|Cochranella colymbiphyllum,Plantation Glass Frog,NA,Ranita De Cristal,LC,NA,3.1,2008,stable,NA,NA,NA,NA,NA,2.5,2.68,NA,NA,han,han,NA,NA,61.52617719,10.29501215,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hyalinobatrachium fleischmanni,55014,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,CENTROLENIDAE,Hyalinobatrachium,fleischmanni,"(Boettger, 1893)",NA,NA,NA,NA,Centrolenella viridissima  |Cochranella decorata  |Cochranella millepunctata  |Hylella chrysops  |Hylella  fleischmanni,"Fleischmann's Glass Frog, Northern Glassfrog",NA,NA,LC,NA,3.1,2010,unknown,NA,NA,NA,NA,NA,2.24,2.75,NA,NA,han,han,NA,NA,127.4321731,33.85421755,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hyalinobatrachium talamancae,55033,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,CENTROLENIDAE,Hyalinobatrachium,talamancae,"(Taylor, 1952)",NA,NA,NA,NA,Centrolenella talamancae|Cochranella talamancae,Talamanca Glass Frog,NA,NA,LC,NA,3.1,2015,stable,NA,NA,NA,NA,NA,2.35,2.55,NA,NA,han,han,NA,NA,10.07284499,0.551442352,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hyalinobatrachium valerioi,55036,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,CENTROLENIDAE,Hyalinobatrachium,valerioi,"(Dunn, 1931)",NA,NA,NA,NA,Centrolene valerioi|Centrolenella valerioi|Cochranella reticulata|Cochranella valerioi,La Palma Glass Frog,NA,NA,LC,NA,3.1,2008,decreasing,NA,NA,NA,NA,NA,2.18,2.43,NA,NA,han,han,NA,NA,53.00139144,8.682273292,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hyla annectans,55391,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Hyla,annectans,"(Jerdon, 1870)",NA,NA,NA,NA,NA,Assam Treefrog,NA,NA,LC,NA,3.1,2004,stable,NA,Simultaneous polyandry,Female larger,liao,"(Liao & Lu, 2010)",3.465,3.765,NA,NA,"han, liao","han, liao",NA,NA,72.01211851,93.25009654,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66,"(Liao & Lu, 2010)",NA,NA,NA,NA,NA,NA,ASR based on marked individuals from two populations of Hyla annectans chuanxiensis: 64 male adults and 33 female adults (CCI 31/10/2018)
Hyla arborea,10351,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Hyla,arborea,"(Linnaeus, 1758)",NA,NA,NA,NA,NA,European Tree Frog,Rainette Verte,Ranita De San Antón,LC,NA,3.1,2009,decreasing,NA,Monoandry,"Male more colorful, Sexes shaped differently",liao,"(Gomez, et al., 2009)",2.48,3.3,NA,NA,han,han,NA,NA,496.1477745,443.4001016,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.9,46.53,0.55,pipoly,-0.013,pipoly,NA,NA,NA,NA,Added info for sex_dim (CCI 31/10/2018)
Hyla chinensis,55445,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Hyla,chinensis,"Günther, 1859",NA,NA,NA,NA,NA,NA,NA,NA,LC,NA,3.1,2004,stable,NA,NA,NA,NA,NA,3.06,3.42,NA,NA,han,han,NA,NA,86.32993955,60.21158597,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hyla tsinlingensis,55682,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Hyla,tsinlingensis,"Liu and Hu, 1966",NA,NA,NA,NA,NA,NA,NA,NA,LC,NA,3.1,2004,decreasing,NA,NA,NA,NA,NA,4.05,4.41,NA,NA,han,han,NA,NA,16.77977789,8.652392797,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hyla walkeri,55691,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Hyla,walkeri,"Stuart, 1954",NA,NA,NA,NA,NA,Walker's Treefrog,NA,NA,VU,B1ab(iii),3.1,2004,decreasing,NA,NA,NA,NA,NA,3.2,3.16,NA,NA,han,han,NA,NA,5.593698628,0.235408695,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
