binomial,Species.ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Authority,Infraspecific.rank,Infraspecific.name,Infraspecific.authority,Stock.subpopulation,Synonyms,Common.names..Eng.,Common.names..Fre.,Common.names..Spa.,Red.List.status,Red.List.criteria,Red.List.criteria.version,Year.assessed,Population.trend,Petitioned,mating_system,sex_dim,ref.matsys,ref.sexdim,male_svl_cm,female_svl_cm,male_body_mass_g,female_body_mass_g,ref.svl.male,ref.svl.female,ref.body_mass.male,ref.body_mass.female,shape_Leng,shape_Area,han_MorR,sex_role.liker,malepolyfreq.liker,malepolyscore.liker,fempolyfreq.liker,fempolyscore.liker,parentalcare_bias.liker,malecareduration.liker,femcareduration.liker,breedingdens.liker,EPP.freq.liker,body.size.pip,latitude.pip,ASR,ref.asr,sex.size.dim,ref.sex.size.dim,body_mass_adult,ref_body_mass,sex.sel.traits,ref.sex.sel.t,comments
Odorrana livida,58645,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Odorrana,livida,"(Blyth, 1856)",NA,NA,NA,NA,Polypedates lividus|Rana livida,"Green Cascade Frog, Bright Frog, Green Mountain Frog, Large-eared Rock Frog, Large Odorous Frog, Tenasserim Frog",NA,NA,DD,NA,3.1,2004,unknown,NA,NA,NA,NA,NA,5.65,10.04,NA,NA,han,han,NA,NA,0.09582946,0.000730764,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Odorrana margaretae,58660,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Odorrana,margaretae,"(Liu, 1950)",NA,NA,NA,NA,Rana margaretae,"Margareta's Frog, Green Odorous Frog, Margaret Frog",NA,NA,LC,NA,3.1,2004,stable,NA,NA,NA,NA,NA,8.14,10.34,NA,NA,han,han,NA,NA,44.66875,55.77254,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Odorrana morafkai,58673,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Odorrana,morafkai,"(Bain, Lathrop, Murphy, Orlov & Ho, 2003)",NA,NA,NA,NA,Rana morafkai,Morafkai Frog,NA,NA,LC,NA,3.1,2016,decreasing,NA,NA,NA,NA,NA,4.25,9,NA,NA,han,han,NA,NA,133.8202,12.45898,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Odorrana schmackeri,58711,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Odorrana,schmackeri,"(Boettger, 1892)",NA,NA,NA,NA,Rana schmackeri,"Schmacker's Frog, Kaochahien Frog, Piebald Odorous Frog",NA,NA,LC,NA,3.1,2004,decreasing,NA,NA,NA,NA,NA,4.08,7.68,NA,NA,han,han,NA,NA,58.34484,129.9809,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Odorrana swinhoana,58727,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Odorrana,swinhoana,"(Boulenger, 1903)",NA,NA,NA,NA,Rana swinhoana|Rana taiwaniana,"Bangkimtsing Frog, Brown-backed Odorous Frog, Swinhoe's Brown Frog, Taiwan Odorous Frog, Taiwan Sucker Frog",NA,NA,LC,NA,3.1,2004,stable,NA,NA,NA,NA,NA,6.03,7.35,NA,NA,han,han,NA,NA,8.040772,1.920542,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Odorrana tiannanensis,58737,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Odorrana,tiannanensis,"(Yang & Li, 1980)",NA,NA,NA,NA,Rana heatwolei|Rana megatympanum|Rana tabaca|Rana tiannanensis,"Dawei Frog, Tiannan Odorous Frog",NA,NA,LC,NA,3.1,2004,decreasing,NA,NA,NA,NA,NA,5.2,10,NA,NA,han,han,NA,NA,10.62679,3.789129,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Odorrana tormota,58226,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Odorrana,tormota,"(Wu, 1977)",NA,NA,NA,NA,Amolops tormotus|Odorrana tormotus|Rana tormotus,"Anhui Sucker Frog, Concave-eared Frog, Concave-eared Torrent Frog, Sunken-ear Frog",NA,NA,VU,B1ab(iii)+2ab(iii),3.1,2004,decreasing,NA,NA,NA,NA,NA,3.38,5.95,NA,NA,han,han,NA,NA,4.137175,1.091269,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Odorrana versabilis,58745,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Odorrana,versabilis,"(Liu & Hu, 1962)",NA,NA,NA,NA,Rana versabilis,"Kwangsi Frog, Bamboo-leaf Frog, Bamboo Leaf Odorous Frog",NA,NA,LC,NA,3.1,2004,decreasing,NA,NA,NA,NA,NA,4.64,6.23,NA,NA,han,han,NA,NA,22.63353,16.74872,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oophaga granulifera,55186,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DENDROBATIDAE,Oophaga,granulifera,"(Taylor, 1958)",NA,NA,NA,NA,Dendrobates granulifer  |Dendrobates granuliferus  |Ranitomeya granuliferus,"Granular Poison Frog, Granular Poison-arrow Frog, Granulated Poison-dart Frog",NA,NA,VU,B1ab(iii),3.1,2008,decreasing,NA,NA,NA,NA,NA,2.07,2.08,NA,NA,han,han,NA,NA,8.523374,0.4567134,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oophaga histrionica,55187,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DENDROBATIDAE,Oophaga,histrionica,"(Berthold, 1845)",NA,NA,NA,NA,Dendrobates histrionicus  |Oophaga histrionicus  ,"Harlequin Poison Frog, Common Poison-arrow Frog, Red-and-black Poison Frog",NA,NA,LC,NA,3.1,2004,decreasing,NA,NA,Sexes alike,NA,adw,3.3,3.27,NA,NA,han,han,NA,NA,9.185164,1.813636,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No data available (CCI 31/10/2018)  
